date,open_price,close_price,price_change,number_of_liquidations,average_health_factor
2019-06-18 00:00:00+00:00,269.07,273.12,1.51,0,1.083490
2019-06-19 00:00:00+00:00,273.12,264.79,-3.05,0,1.062283
2019-06-20 00:00:00+00:00,264.79,269.15,1.65,0,1.084061
2019-06-21 00:00:00+00:00,269.15,272.33,1.18,0,1.082133
2019-06-22 00:00:00+00:00,272.33,294.48,8.13,0,1.107261
2019-06-23 00:00:00+00:00,294.48,310.65,5.49,0,1.098755
2019-06-24 00:00:00+00:00,310.65,307.95,-0.87,0,1.072913
2019-06-25 00:00:00+00:00,307.95,311.07,1.01,0,1.081379
2019-06-26 00:00:00+00:00,311.07,318.64,2.43,0,1.087265
2019-06-27 00:00:00+00:00,318.64,337.34,5.87,0,1.100043
2019-06-28 00:00:00+00:00,337.34,295.84,-12.30,143,1.005386
2019-06-29 00:00:00+00:00,295.84,309.95,4.77,0,1.096261
2019-06-30 00:00:00+00:00,309.95,321.43,3.70,0,1.092297
2019-07-01 00:00:00+00:00,321.43,292.84,-8.90,0,1.029205
2019-07-02 00:00:00+00:00,292.84,295.26,0.83,0,1.080572
2019-07-03 00:00:00+00:00,295.26,290.96,-1.46,0,1.070138
2019-07-04 00:00:00+00:00,290.96,304.17,4.54,0,1.095377
2019-07-05 00:00:00+00:00,304.17,285.22,-6.23,0,1.044961
2019-07-06 00:00:00+00:00,285.22,287.99,0.97,0,1.081213
2019-07-07 00:00:00+00:00,287.99,289.58,0.55,0,1.079383
2019-07-08 00:00:00+00:00,289.58,305.34,5.44,0,1.098560
2019-07-09 00:00:00+00:00,305.34,312.47,2.34,0,1.086897
2019-07-10 00:00:00+00:00,312.47,307.78,-1.50,0,1.069942
2019-07-11 00:00:00+00:00,307.78,290.01,-5.77,0,1.047521
2019-07-12 00:00:00+00:00,290.01,268.64,-7.37,0,1.037828
2019-07-13 00:00:00+00:00,268.64,275.81,2.67,0,1.088269
2019-07-14 00:00:00+00:00,275.81,270.31,-1.99,0,1.067515
2019-07-15 00:00:00+00:00,270.31,227.12,-15.98,469,0.978694
2019-07-16 00:00:00+00:00,227.12,230.18,1.35,0,1.082792
2019-07-17 00:00:00+00:00,230.18,199.94,-13.14,204,0.999716
2019-07-18 00:00:00+00:00,199.94,210.84,5.45,0,1.098565
2019-07-19 00:00:00+00:00,210.84,226.30,7.33,0,1.104775
2019-07-20 00:00:00+00:00,226.30,221.11,-2.29,0,1.066022
